time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=fp1-allow-and-deny-user
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=fp2-allow-and-deny-multiple-policies-user
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="codebuild:ListProjects" cache=hit region=us-east-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="elasticbeanstalk:DescribeApplications" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeSnapshots" cache=miss region=eu-north-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=fp3-deny-iam-user
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="apigateway:GetRestApis" cache=miss region=eu-north-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="apigatewayv2:GetApis" cache=miss region=eu-north-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="athena:ListDataCatalogs" cache=miss region=eu-north-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="cloudformation:ListStacks" cache=miss region=eu-north-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="athena:ListDatabases" cache=miss catalogName=AwsDataCatalog region=us-east-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="codeartifact:ListDomains" cache=miss region=eu-north-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="codebuild:ListProjects" cache=hit region=eu-north-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="codecommit:ListRepositories" cache=miss region=eu-north-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=fp4-nonExploitableResourceConstraint-user
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=fp5-nonExploitableConditionConstraint-user
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=iamadmin
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="codedeploy:ListApplications" cache=miss region=eu-north-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="codedeploy:ListDeployments" cache=miss region=eu-north-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="dynamodb:ListTables" cache=miss region=eu-north-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=privesc-AssumeRole-start-user
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeInstances" cache=miss region=eu-north-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeImages" cache=miss region=eu-north-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=privesc-CloudFormationUpdateStack-user
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="elb:DescribeLoadBalancers" cache=miss region=us-east-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="ecs:ListClusters" cache=hit region=us-east-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="ecs:ListClusters" cache=hit region=us-east-1
time="2026-08-30T19:17:05-06:00" level=info msg="AWS API call" account=000000000000 api="ecr:DescribeRepositories" cache=miss region=us-east-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="eks:ListClusters" cache=miss region=us-east-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="eks:ListClusters" cache=miss region=us-east-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=privesc-codeBuildCreateProjectPassRole-user
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeInstances" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeSnapshots" cache=miss region=ap-southeast-2
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="eks:ListClusters" cache=miss region=eu-north-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ec2:DescribeVolumes" cache=miss region=eu-north-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ecs:ListClusters" cache=miss region=eu-north-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ecs:ListClusters" cache=miss region=eu-north-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="athena:ListDatabases" cache=miss catalogName=AwsDataCatalog region=ap-southeast-2
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ecs:ListClusters" cache=miss region=eu-north-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="ecr:DescribeRepositories" cache=miss region=eu-north-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="eks:ListClusters" cache=miss region=eu-north-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="iam:ListAccessKeys" cache=miss userName=privesc-ec2InstanceConnect-user
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="emr:ListClusters" cache=miss region=us-east-1
time="2026-08-30T19:17:06-06:00" level=info msg="AWS API call" account=000000000000 api="elasticache:DescribeCacheClusters" cache=miss region=us-east-1
